,AC Type,Capacity,Mass (kg),CO2_construction (kg)
0,A20N,194,60000,10000.0
1,A319,142,60000,10000.0
2,A320,180,60000,10000.0
3,A321,220,60000,10000.0
4,A332,293,200000,33333.33333333333
5,A343,335,260000,43333.33333333333
6,AT43,50,10000,1666.6666666666665
7,AT72,72,20000,3333.333333333333
8,B38M,178,60000,10000.0
9,B734,168,60000,10000.0
10,B736,132,70000,11666.666666666666
11,B737,149,60000,10000.0
12,B738,167,60000,10000.0
13,B752,228,100000,16666.666666666664
14,B753,280,100000,16666.666666666664
15,B763,351,60000,10000.0
16,B788,250,200000,33333.33333333333
17,C310,5,2000,333.3333333333333
18,CRJ7,70,25000,4166.666666666666
19,CRJ9,90,30000,5000.0
20,CRJX,104,20000,3333.333333333333
21,D328,39,10000,1666.6666666666665
22,DH8D,78,25000,4166.666666666666
23,E120,30,10000,1666.6666666666665
24,E170,80,40000,6666.666666666666
25,E190,114,40000,6666.666666666666
26,E195,124,50000,8333.333333333332
27,J328,32,10000,1666.6666666666665
28,JS32,19,5000,833.3333333333333
